date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:13	102062/102062	---M--	200	added ('OK')	image/jpeg	etag:%225e5d2dac546cd31:0%22	http://static.emol.cl/emol50/Fotos/2017/12/03/file_20171203133504.jpg	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/Fotos/2017/12/03/file_20171203133504.jpg	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:13	3744/3744	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ea0-15e1aa0f248%22	http://platform.vine.co/static/scripts/embed.js	C:/Mis%20lugares%20Web/emol/platform.vine.co/static/scripts/embed.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:13	60802/60802	---M-Z	200	added ('OK')	application/x-javascript	etag:%22946578c1ad7eb6e469a18df47bea1515%22	http://platform.instagram.com/en_US/embeds.js	C:/Mis%20lugares%20Web/emol/platform.instagram.com/en_US/embeds.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:14	707/707	---M-Z	200	added ('OK')	application/x-javascript	etag:%223e3a18e9f17d01:0%22	http://static.emol.cl/emol50/js/Copyright.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/Copyright.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:14	2607/2607	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b7eaee3f3c32d31:0%22	http://static.emol.cl/emol50/js/cajasAjaxDetalle.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/cajasAjaxDetalle.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:14	65672/65672	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c7d39512a099d21:0%22	http://static.emol.cl/emol50/js/caja_portada.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/caja_portada.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:15	32622/32622	---M-Z	200	added ('OK')	application/x-javascript	etag:%221c47262cb99d21:0%22	http://static.emol.cl/emol50/js/ZoomAD.Mer.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/ZoomAD.Mer.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:16	47021/47021	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22d5305c5fccd4d21:0%22	http://static.emol.cl/emol50/js/jquery.textcomplete.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/jquery.textcomplete.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:16	376/376	---M-Z	200	added ('OK')	application/javascript	etag:%2270128a8b43b0d11:0%22	http://static.emol.cl/emol50/js/publicidadsetup/publicidadESP.js?v=103	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/publicidadsetup/publicidadESP0290.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:16	1710/1710	---M--	200	added ('OK')	image/gif	etag:%22bb77566dfc5cd01:0%22	http://static.emol.cl/emol50/img/logo_emol.gif	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/logo_emol.gif	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:16	1851/1851	---M--	200	added ('OK')	image/png	etag:%22e9d399fc9e3ad21:0%22	http://static.emol.cl/emol50/img/home_emol.png	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/home_emol.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:17	1708/1708	---M--	200	added ('OK')	image/png	etag:%22b03a664a372ad21:0%22	http://static.emol.cl/emol50/img/emolfotos-not.png	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/emolfotos-not.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:17	123839/123839	---M-Z	200	added ('OK')	application/javascript	etag:%223e4504e992f3a97e51fd54697a0f1b2e+gzip%22	http://platform.twitter.com/widgets.js	C:/Mis%20lugares%20Web/emol/platform.twitter.com/widgets.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:17	3912/3912	---M--	200	added ('OK')	image/png	etag:%22c8c3ab7bfc5cd01:0%22	http://static.emol.cl/emol50/img/emoltv-not.png	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/emoltv-not.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:17	1567/1567	---M-Z	200	added ('OK')	application/x-javascript	etag:%225a7feaee7970d01:0%22	http://static.emol.cl/emol50/js/webtoolkit.url.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/webtoolkit.url.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:17	329/329	---M--	200	added ('OK')	image/png	etag:%22d3ae7742ac8dd01:0%22	http://static.emol.cl/emol50/img/icon_lupa_emol_2015.png	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/icon_lupa_emol_2015.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:17	1804/1804	---M--	200	added ('OK')	image/png	etag:%22ece373fac8dd01:0%22	http://static.emol.cl/emol50/img/icon_lupa_amarillas_2015.png	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/icon_lupa_amarillas_2015.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:18	1970/1970	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20May%202017%2015:24:35%20GMT	http://www.emol.com/especiales/2017/actualidad/nacional/elecciones/css/estilos_cobertura_especial_header.css	C:/Mis%20lugares%20Web/emol/www.emol.com/especiales/2017/actualidad/nacional/elecciones/css/estilos_cobertura_especial_header.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:18	924/924	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Sep%202011%2017:18:17%20GMT	http://www.emol.com/especiales/2015/deportes/clasificatorias-rusia-2018/img/pixeltrans.png	C:/Mis%20lugares%20Web/emol/www.emol.com/especiales/2015/deportes/clasificatorias-rusia-2018/img/pixeltrans.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
